code,Tiempo,Tratamiento,pH,Amonio,Nitrito,Nitrato
KCA100,0,CONTROL,8.8733,1.1962,0.0913,0.1363
KCA101,0,CONTROL,8.6633,1.2687,0.48,0.1053
KCA102,0,CONTROL,9.2667,0.9064,0.0993,0.2139
KCA115,8,CONTROL,9.12,1.9933,1.9823,0.0642
KCA116,8,CONTROL,9.1833,1.9208,3.8186,0.0478
KCA117,8,CONTROL,9.16,2.1382,2.569,0.0677
KCA118,8,NiSA15,9.0867,1.9933,3.4261,0.1407
KCA119,8,NiSA15,9.02,1.631,1.9156,0.1003
KCA120,8,NiSA15,8.56,2.7179,0.455,0.0465
KCA121,8,NiSA30,8.83,1.4136,2.7033,0.04
KCA122,8,NiSA30,9.0467,2.2106,2.6945,0.0398
KCA123,8,NiSA30,9.05,1.5585,2.3375,0.0244
KCA124,8,NiSB15,9.1067,6.6307,2.678,0.1093
KCA125,8,NiSB15,9.0537,1.4136,1.9615,0.1262
KCA126,8,NiSB15,9.1748,2.7179,2.6569,0.07
KCA127,8,NiSB30,9.1563,4.7468,1.9688,0.0402
KCA128,8,NiSB30,8.9897,2.2106,3.056,0.063
KCA129,8,NiSB30,9.2363,2.8628,2.6976,0.1101
KCA142,15,CONTROL,8.6843,0.3991,2.1545,0.1989
KCA143,15,CONTROL,8.6841,0.3267,3.8587,0.2023
KCA144,15,CONTROL,8.6743,0.3267,5.1635,0.2309
KCA145,15,NiSA15,8.7498,0.3991,1.3582,0.2287
KCA146,15,NiSA15,8.7394,0.3267,0.1045,0.1906
KCA147,15,NiSA15,8.7483,0.9788,0.1061,0.2809
KCA148,15,NiSA30,8.7484,0.3267,0,0.2276
KCA149,15,NiSA30,8.738,0.3267,0.5236,0.1937
KCA150,15,NiSA30,8.7461,0.3267,0,0.2743
KCA151,15,NiSB15,8.7583,0.3267,0,0.2356
KCA152,15,NiSB15,8.7381,0.3267,0.5166,0.243
KCA153,15,NiSB15,8.719,0.3267,0.106,0.2107
KCA154,15,NiSB30,8.7401,0.3267,0,0.2239
KCA155,15,NiSB30,8.7392,0.4716,2.1685,0.2262
KCA156,15,NiSB30,8.7567,0.7107,3.4364,0.2282
KCA169,30,CONTROL,8.5167,1.1962,2.0416,0.2211
KCA170,30,CONTROL,8.63,0.8339,2.0494,0.1073
KCA171,30,CONTROL,8.8467,0.3991,1.2645,0.1395
KCA172,30,NiSA15,8.6767,0.3991,0.4764,0.1045
KCA173,30,NiSA15,8.8267,0.3267,32.2851,0.2743
KCA174,30,NiSA15,8.77,0.3267,0.8705,0.2278
KCA175,30,NiSA30,8.6867,0.3267,0.8741,0.2288
KCA176,30,NiSA30,8.6767,0.3267,0.857,0.1844
KCA177,30,NiSA30,8.51,0.3267,1.2864,0.2049
KCA178,30,NiSB15,8.58,0.6165,1.6334,0.1862
KCA179,30,NiSB15,8.56,0.689,1.637,0.2028
KCA180,30,NiSB15,8.59,0.3267,0.0995,0.1322
KCA181,30,NiSB30,8.56,0.3267,0,0.1319
KCA182,30,NiSB30,8.6367,0.3267,0.098,0.1786
KCA183,30,NiSB30,8.59,0.7614,0.8683,0.1787
KCA196,60,CONTROL,8.6433,3.5706,76.4938,5.1796
KCA197,60,CONTROL,8.3667,2.9647,53.1759,2.9772
KCA198,60,CONTROL,8.36,2.3187,49.4574,2.0904
KCA199,60,NiSA15,8.53,5.0961,68.1463,3.7614
KCA200,60,NiSA15,8.3377,2.7032,66.4658,4.3501
KCA201,60,NiSA15,8.5267,3.334,71.1338,4.0973
KCA202,60,NiSA30,8.69,2.0612,54.3296,2.0662
KCA203,60,NiSA30,8.4867,2.7846,57.1698,3.1576
KCA204,60,NiSA30,8.4833,3.2095,44.5743,2.7772
KCA205,60,NiSB15,8.4633,3.5578,69.6172,7.9245
KCA206,60,NiSB15,8.5067,4.1186,46.4207,5.0488
KCA207,60,NiSB15,8.57,1.2066,56.0575,8.0043
KCA208,60,NiSB30,8.51,1.2928,48.0652,6.8456
KCA209,60,NiSB30,8.6833,1.7699,43.6264,4.5132
KCA210,60,NiSB30,8.63,1.1953,33.7399,4.9119
KCA223,120,CONTROL,7.2562,0.8929,0,0
KCA224,120,CONTROL,7.3946,0.82,0,0
KCA225,120,CONTROL,7.3487,0.7507,0,0
KCA226,120,NiSA15,7.3792,0.8532,0,0.0304
KCA227,120,NiSA15,7.4703,0.4167,0,0.0966
KCA228,120,NiSA15,7.4572,0.4868,0,0.094
KCA229,120,NiSA30,7.457,0.8111,0,0.131
KCA230,120,NiSA30,7.5345,0.4569,0,0.5583
KCA231,120,NiSA30,7.6112,0.5198,0,0.3324
KCA232,120,NiSB15,7.599,0.6641,0,0.1833
KCA233,120,NiSB15,7.6567,0.6264,0,0.0496
KCA234,120,NiSB15,7.6154,0.5434,0,0.0985
KCA235,120,NiSB30,7.549,0.8913,0,0
KCA236,120,NiSB30,7.4171,0.5606,0,0
KCA237,120,NiSB30,7.5424,0.6662,0,0
KCA250,240,CONTROL,7.76,1.482892407,27.32445374,0.991283059
KCA251,240,CONTROL,7.7,1.482892407,26.30168282,1.249931061
KCA252,240,CONTROL,7.61,1.545194618,25.84574545,1.184417024
KCA253,240,NiSA15,7.66,1.358287986,28.7335488,1.140749055
KCA254,240,NiSA15,7.64,1.545194618,26.08147885,0.966465928
KCA255,240,NiSA15,7.72,1.420590196,26.68419858,0.922772817
KCA256,240,NiSA30,7.64,1.73210125,26.65015185,1.205978843
KCA257,240,NiSA30,7.57,1.420590196,26.41497627,1.336929878
KCA258,240,NiSA30,7.42,1.420590196,27.96550846,1.504266569
KCA259,240,NiSB15,7.64,1.420590196,25.62581107,0.858013053
KCA260,240,NiSB15,7.57,1.607496829,26.30312204,0.985343271
KCA261,240,NiSB15,7.57,1.856705671,27.06221813,0.031803561
KCA262,240,NiSB30,7.49,1.607496829,25.61207217,0.935908122
KCA263,240,NiSB30,7.28,1.295985775,26.01772065,1.037896091
KCA264,240,NiSB30,6.01,1.669799039,25.31629009,0.984470214
KCA100,0,CONTROL,8.8733,1.1962,0.0913,0.1363
KCA101,0,CONTROL,8.6633,1.2687,0.48,0.1053
KCA102,0,CONTROL,9.2667,0.9064,0.0993,0.2139
KCA103,8,ZnSA30,9.0233,4.1671,2.675,0.0473
KCA104,8,ZnSA30,9.11,1.1237,1.9221,0.1237
KCA105,8,ZnSA30,9.1033,5.6887,1.2045,0.063
KCA106,8,ZnSA50,9.2267,7.0655,0.838,0.1101
KCA107,8,ZnSA50,9.0333,4.1671,3.4325,0.0709
KCA108,8,ZnSA50,9.33,2.2831,3.0112,0.0544
